CodFrota;descricao_especialidade;descricao_especialidadeAgrup;descricao_frota
60067;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA ENDURANCE RUY-0J73
60068;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA ENDURANCE RUY-1A34
60069;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA ENDURANCE RUY-1A38
60070;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA ENDURANCE RUY-1A24
60071;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA(PERCA TOTAL)
60072;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA ENDURANCE RUY-7J21
60073;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA ENDURANCE RUY-7J01
60074;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA ENDURANCE RUY-7I98
60075;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA ENDURANCE RUY-7I88
60076;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA ENDURANCE RUY-7I91
60077;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT MOBI TREKKING RUY-7J14
60078;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA FREEDOM RVD-5C08
60079;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT MOBI TREKKING RVD-5C09
60080;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT MOBI LIKE RVI-8G49
60081;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT MOBI LIKE RVI-3E11
60082;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT MOBI LIKE RVI-3E16
60083;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT MOBI LIKE RVI-4A91
60084;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL VW SAVEIRO CS RB MF QXW-9B30
60085;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT MOBI LIKE RVI-4A95
60086;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT MOBI LIKE RVI-4A99
60087;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT MOBI LIKE RVI-4A69
60088;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL GM SPIN TEE-2C71
60089;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA FREEDOM RVN-6E51
60090;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA ENDURANCE RVI-5B25
60091;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA ENDURANCE RVU-9I75
60092;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA ENDURANCE SCI-0J21
60093;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA ENDURANCE SHK-1E11
60094;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT MOBI LIKE SHL-4F53
60095;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL VW GOL MPI SGT-0H13
60096;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL VW GOL MPI SGT-0H04
60097;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT STRADA ENDURANCE SHW-6H54
60098;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL VW GOL MPI SCA-7I46
60099;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL VW POLO TRACK MA SYR-5F11
60100;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL VW POLO TRACK MA SYR-5F15
60101;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL VW POLO TRACK MA SYR-1G43
60102;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL VW SAVEIRO CS RB MF SYR-5F23
60103;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL VW SAVEIRO CS RB MF SYR-5F27
60104;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL VW SAVEIRO CS RB MF SYR-5F30
60105;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL VW SAVEIRO CD RB MF PVR-7B59
60106;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL VW SAVEIRO CD RB MF PVR-7B50
60107;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL VW SAVEIRO CS RB MF QXW-9B26
60108;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL VW SAVEIRO CS RB MF TEL-3J69
60109;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL FIAT MOBI LIKE TCC-6D99
60110;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL STRADA FREEDOM TCE-0C44
60111;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL RENAULT OROCH INTENSE TFT-8J82
60112;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL VW SAVEIRO CD RB MF TFG-5J42
60113;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL RENAULT OROCH INTENSE TEX-2E65
60114;VEICULO - ASSISTENCIA;VEICULO;AUTOMOVEL RENAULT OROCH INTENSE TYC-9F69
60201;VEICULO - AMBULANCIA;VEICULO;AUTOMOVEL FIAT STRADA ENDURANCE RNJ-6G64
60250;MOTOCICLETA - ASSISTENCIA;MOTOCICLETA;MOTOCICLETA HONDA NXR 160 BROS PRJ-7B81
