CodFrota;descricao_especialidade;descricao_especialidadeAgrup;descricao_frota
63306;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO FBL-2H46
63307;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO FBL-2H45
63308;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63309;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63310;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63311;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63312;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63313;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63314;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63315;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63316;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63317;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63318;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63319;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63320;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63321;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63322;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63323;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63324;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63325;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63326;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63327;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63328;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63329;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63330;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63331;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63332;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63333;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63334;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63335;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63336;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63337;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO SERMAG SMR 10000
63338;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO SANTA IZABEL TASI 22
63339;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO SANTA IZABEL TASI 22
63340;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO SANTA IZABEL TASI 22
63341;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO SANTA IZABEL TASI 22
63342;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO SANTA IZABEL TASI 22
63343;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO SANTA IZABEL TASI 22
63344;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO SANTA IZABEL TASI 22
63345;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO SANTA IZABEL TASI 22
63346;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 12000
63347;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 12000
63348;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 12000
63349;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 12000
63350;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 12000
63351;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 12000
63352;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 12000
63353;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 12000
63354;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TRACAN VTX 10000
63355;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TRACAN VTX 10000
63356;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TRACAN VTX 10000
63357;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TRACAN VTX 10000
63358;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TRACAN VTX 10000
63359;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TRACAN VTX 10000
63360;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TRACAN VTX 10000
63361;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TRACAN VTX 10000
63362;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TRACAN VTX 10000
63363;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63364;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63365;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63366;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63367;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63368;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63369;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63370;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63371;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63372;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63373;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63374;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63375;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63376;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63377;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63378;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63379;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63380;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63381;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63382;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63383;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 10500
63384;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 12000
63385;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 12000
63386;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 12000
63387;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 12000
63388;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 12000
63389;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO ANTONIOSI ATA 12000
63390;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO RODOFORT HDB-6C89
63391;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO RODOFORT HDB-6C85
63392;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TMA VTX 14000
63393;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TMA VTX 14000
63394;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TMA VTX 14000
63395;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TMA VTX 14000
63396;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TMA VTX 14000
63397;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TMA VTX 14000
63398;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TMA VTX 14000
63399;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TMA VTX 14000
63400;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TMA VTX 14000
63401;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TMA VTX 14000
63402;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TMA VTX 14000
63403;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TMA VTX 14000
63404;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TMA VTX 14000
63405;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TMA VTX 14000
63406;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TMA VTX 14000
63407;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO TMA VTX 14000
63600;REBOQUE - PRANCHA;REBOQUE;REBOQUE FACHINNI SRF CT NWQ-3307
63601;REBOQUE - PRANCHA;REBOQUE;SEMI REBOQUE PRANCHA RANDON SHX-4C85
63650;REBOQUE - BANHEIRO MOVEL;REBOQUE;REBOQUE BANHEIRO MOVEL MMW-5532
63651;REBOQUE - OFICINA;REBOQUE;REBOQUE OFICINA PIT STOP AAA-9999
63700;REBOQUE - TANQUE;REBOQUE;REBOQUE TANQUE DAGUA 8.000L
63701;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE TANQUE SERGOMEL QXY-1E29
63702;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE TANQUE SERGOMEL RFB-1F41
63703;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE TANQUE SERGOMEL QXY-1E37
63704;REBOQUE - TANQUE;REBOQUE;REBOQUE TANQUE SERGOMEL QXY-1E21
63705;REBOQUE - TANQUE;REBOQUE;REBOQUE TANQUE SERGOMEL QXY-1E34
63706;REBOQUE - TANQUE;REBOQUE;REBOQUE TANQUE SERGOMEL RFB-1F42
63708;REBOQUE - TANQUE;REBOQUE;REBOQUE TANQUE DAGUA 4.000L
63709;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE TANQUE PASTRE LZW-2D36
63710;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE RECRUSUL SRTX BYA-2155
63711;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE TANQUE SERGOMEL BWD-8I06
63712;REBOQUE - TANQUE;REBOQUE;REBOQUE TANQUE DAGUA 13.000L
63714;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE TANQUE FACCHINI CPJ-3E95
63715;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE TANQUE FRUEHAUF CPJ-3B53
63716;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE TANQUE REB KRONE BWP-8A49
63717;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE TANQUE FRUEHAUF CPJ-3B63
63718;REBOQUE - TANQUE;REBOQUE;REBOQUE TANQUE NONINO 35000L
63719;REBOQUE - TANQUE;REBOQUE;REBOQUE TANQUE NONINO 35000L AAA-9999
63720;REBOQUE - TANQUE;REBOQUE;REBOQUE TANQUE NONINO 35000L AAA-9999
63721;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE TANQUE SERGOMEL RVT-0D56
63722;REBOQUE - TANQUE;REBOQUE;REBOQUE TANQUE SERGOMEL RVT-0D59
63723;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE TANQUE SERGOMEL SHD-6I87
63724;REBOQUE - TANQUE;REBOQUE;REBOQUE TANQUE SERGOMEL SHD-6I85
63725;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE SERGOMEL SHD-6I84
63726;REBOQUE - TANQUE;REBOQUE;REBOQUE TANQUE SERGOMEL SHD-6I91
63727;REBOQUE - TANQUE;REBOQUE;REBOQUE TANQUE NONINO AAA-9999
63728;REBOQUE - TANQUE;REBOQUE;REBOQUE TANQUE SERGOMEL RVU-0I91
63729;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE TANQUE SERGOMEL RVU-0I89
63730;REBOQUE - TANQUE;REBOQUE;REBOQUE TANQUE NONINO AAA-9999
63731;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE TANQUE BISELLI MQU-0895
63732;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE TANQUE SR RECRUSUL BXC-4E83
63733;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE TANQUE KRONORTE JKW-1C62
63734;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE TANQUE LIESS IHX-8873
63735;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE TANQUE KRONE KGC-4E59
63736;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE TANQUE SERGOMEL SIF-0E91
63737;REBOQUE - TANQUE;REBOQUE;REBOQUE TANQUE SERGOMEL SIF-0E93
63738;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE TANQUE SR GUERRA IOS-7A11
63739;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE TANQUE SR GUERRA IOS-7A12
63740;REBOQUE - TANQUE;REBOQUE;SEMI REBOQUE TANQUE SERGOMEL FKW-1664
63800;AREA VIVENCIA - DIVERSOS;AREA VIVENCIA;REBOQUE AREA VIVENCIA MOB-6200
63801;AREA VIVENCIA - DIVERSOS;AREA VIVENCIA;REBOQUE AREA VIVENCIA MNF-7919
63802;AREA VIVENCIA - DIVERSOS;AREA VIVENCIA;AREA VIVENCIA IBIMAC AAA-9999
63803;AREA VIVENCIA - DIVERSOS;AREA VIVENCIA;REBOQUE AREA VIVENCIA AAA-9999
63804;AREA VIVENCIA - DIVERSOS;AREA VIVENCIA;AREA VIVENCIA AAA-9999
63805;AREA VIVENCIA - DIVERSOS;AREA VIVENCIA;AREA VIVENCIA AAA-9999
63806;AREA VIVENCIA - DIVERSOS;AREA VIVENCIA;AREA VIVENCIA AAA-9999
63807;AREA VIVENCIA - DIVERSOS;AREA VIVENCIA;AREA VIVENCIA AAA-9999
63808;AREA VIVENCIA - DIVERSOS;AREA VIVENCIA;AREA VIVENCIA TKS-10 AAA-9999
63809;AREA VIVENCIA - DIVERSOS;AREA VIVENCIA;REBOQUE AREA VIVENCIA AAA-9999
63810;REBOQUE - TRANSBORDO;REBOQUE;REBOQUE TRANSBORDO RODOFORT HDB-6C58
63813;AREA VIVENCIA - DIVERSOS;AREA VIVENCIA;AREA VIVENCIA AAA-9999
63814;AREA VIVENCIA - DIVERSOS;AREA VIVENCIA;AREA VIVENCIA R PARAISO CGT-2C51
63815;REBOQUE - BANHEIRO MOVEL;REBOQUE;REBOQUE BANHEIRO MOVEL RANDON MMW-5722
63900;REBOQUE - CACAMBA;REBOQUE;SEMI REBOQUE CACAMBA SR PASTRE FDB-8113
63901;REBOQUE - GRANELEIRO;REBOQUE;SEMI REBOQUE RANDON SR GR 0335 TCG-8I06
63902;REBOQUE - TRANSP. TUBO;REBOQUE;REBOQUE TRANSP. TUBO RANDON NFZ-2752
64000;MAQUINA PESADA - PA CARREGADEIRA;MAQUINA PESADA;PA CARREGADEIRA JOHN DEERE 624K
64002;MAQUINA PESADA - PA CARREGADEIRA;MAQUINA PESADA;PA CARREGADEIRA JOHN DEERE 624K
64003;MAQUINA PESADA - PA CARREGADEIRA;MAQUINA PESADA;PA CARREGADEIRA JOHN DEERE 624K
64100;MAQUINA PESADA - ESCAVADEIRA HIDRAULICA;MAQUINA PESADA;ESCAVADEIRA JOHN DEERE 210 G
64101;MAQUINA PESADA - RETROESCAVADEIRA;MAQUINA PESADA;RETROESCAVADEIRA JOHN DEERE 310P
64201;MAQUINA PESADA - MOTONIVELADORA;MAQUINA PESADA;MOTONIVELADORA JOHN DEERE 620G
64202;MAQUINA PESADA - MOTONIVELADORA;MAQUINA PESADA;MOTONIVELADORA JOHN DEERE 620P
64300;MAQUINA PESADA - TRATOR ESTEIRA;MAQUINA PESADA;TRATOR ESTEIRA CASE A8800
64350;MAQUINA PESADA - ROLO COMPACTADOR;MAQUINA PESADA;ROLO COMPACTADOR DYNAPAC CA 25
64400;MAQUINA PESADA - EMPILHADEIRA;MAQUINA PESADA;EMPILHADEIRA HYSTER H60FT GLP
64401;MAQUINA PESADA - EMPILHADEIRA;MAQUINA PESADA;EMPILHADEIRA HYSTER H60FT GLP
64402;MAQUINA PESADA - EMPILHADEIRA;MAQUINA PESADA;EMPILHADEIRA JCB 540-170
64403;MAQUINA PESADA - EMPILHADEIRA;MAQUINA PESADA;MANIPULADOR JCB 530-110
64404;MAQUINA PESADA - EMPILHADEIRA;MAQUINA PESADA;MANIPULADOR JCB 530-110
64405;MAQUINA PESADA - EMPILHADEIRA;MAQUINA PESADA;EMPILHADEIRA PALETRANS PT1654
64406;MAQUINA PESADA - EMPILHADEIRA;MAQUINA PESADA;EMPILHADEIRA HELI CPQD25
64407;MAQUINA PESADA - EMPILHADEIRA;MAQUINA PESADA;EMPILHADEIRA HELI CPQD25
65000;EQUIPAMENTO IRRIG - MOTOR IRRIGACAO;EQUIPAMENTO IRRIG;MOTOR IRRIGACAO MWM D229/6
65001;EQUIPAMENTO INDUST - MOTOR ESTACIONARIO;EQUIPAMENTO INDUST;MOTOR ESTACIONARIO PERKINS1104A-44
65002;EQUIPAMENTO INDUST - MOTOR ESTACIONARIO;EQUIPAMENTO INDUST;MOTOR ESTACIONARIO PERKINS 1104A-44
65004;EQUIPAMENTO IRRIG - MOTOR IRRIGACAO;EQUIPAMENTO IRRIG;MOTOR IRRIGACAO MWM TCA 6.10
65005;EQUIPAMENTO IRRIG - MOTOR IRRIGACAO;EQUIPAMENTO IRRIG;MOTOR IRRIGACAO MWM TCA 6.10
65006;EQUIPAMENTO IRRIG - MOTOR IRRIGACAO;EQUIPAMENTO IRRIG;MOTOR IRRIGACAO MWM 6.12 TCA
65007;EQUIPAMENTO IRRIG - MOTOR IRRIGACAO;EQUIPAMENTO IRRIG;MOTOR IRRIGACAO MWM 6.12TCA
65008;EQUIPAMENTO IRRIG - MOTOR IRRIGACAO;EQUIPAMENTO IRRIG;MOTOR IRRIGACAO MWM 6.12TCA
65011;EQUIPAMENTO IRRIG - MOTOR IRRIGACAO;EQUIPAMENTO IRRIG;MOTOR IRRIGACAO MWM 6.12 TCA
65302;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG W22
65303;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG W22
65304;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG W22 PLUS
65305;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA MARATHOR HJN 280M-4
65306;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA MARATHOR HJN 280M-4
65307;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA MARATHOR HJN 280M-4
65308;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA MARATHOR HJN 280M-4
65309;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG W22
65310;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG W22
65311;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG W22
65312;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG W22
65313;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG W22
65314;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG W22
65315;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG W22
65316;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG W22
65317;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG W22
65318;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG W22
65319;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG W22
65320;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG W22
65321;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG 250
65322;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG 250
65323;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG 250
65324;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG 150
65325;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG 200
65326;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG 200
65327;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG 300
65328;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA WEG 350
65329;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA GERMEK 250 CV
65330;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA GERMEK 250 CV
65331;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA GERMEK 250 CV
65332;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA GERMEK 350 CV
65333;EQUIPAMENTO IRRIG - ELETROBOMBA;EQUIPAMENTO IRRIG;ELETROBOMBA GERMEK 300 CV
65500;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL TURBOMAQ 140/GSV/350 4R
65501;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL TURBOMAQ 140/GSV/350 4R
65502;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL TURBOMAQ 140/GSV/350 4R
65503;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL TURBOMAQ 140/GSV/350 4R
65504;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL TURBOMAQ 140/GSV/350 4R
65505;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL TURBOMAQ 140/GSV/350 4R
65506;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL TURBOMAQ 140/GSV/350 4R
65507;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL TURBOMAQ 140/GSV/350-4R
65508;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL TURBOMAQ 140/GSV/400-4R
65509;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL TURBOMAQ 140/GSV/400-4R
65510;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL TURBOMAQ 140/GSV/400-4R
65511;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL SETORIAL HR G4 140/400
65512;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL SETORIAL HR G4 140/400
65513;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL SETORIAL HR G4 140/400
65514;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL SETORIAL HR G4 140/400
65515;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL SETORIAL HR G4 140/400
65516;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL SETORIAL HR G4 140/400
65517;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL SETORIAL HR G4 140/400
65518;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL SETORIAL HR G4 140/400
65519;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL SETORIAL HR G4 140/400
65520;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL SETORIAL HR G4 140/400
65521;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO;EQUIPAMENTO IRRIG;HIDRO ROLL SETORIAL HR G4 140/400
